,user_id,school_name,graduation_year,department,degree
0,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Michigan State University,1552081387,Chemistry,3.2133070038386364
1,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,University of Canterbury,1538090953,Chemistry,3.6071698151734095
2,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Prince of Songkla University,1334067036,Educational Technology,3.0230963226831604
3,ccb04ed9-2349-11ea-be57-74d02b9c93aa,University of Waikato,1356321750,Educational Technology,2.5251383740871938
4,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,University of Southern Denmark,1415724230,Centre for Research in Nanotechnology and Science (CRNTS),2.0071185243147345
5,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Federal University of Minas Gerais,1457078833,Centre for Research in Nanotechnology and Science (CRNTS),3.6453002375260466
6,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,University of Liverpool,1372537800,Centre for Research in Nanotechnology and Science (CRNTS),2.2069646623651105
8,ccb04edc-2349-11ea-9c27-74d02b9c93aa,University of Rennes 1,1466817595,Centre for Distance Engineering Education Programme (CDEEP),3.059749382682288
9,ccb04edd-2349-11ea-9181-74d02b9c93aa,Tomsk State University,1344978806,Industrial Engineering and Operations Research (IEOR),2.6858650248309712
10,ccb04edd-2349-11ea-9181-74d02b9c93aa,University of Alcalá,1352106341,Industrial Engineering and Operations Research (IEOR),3.524449290107708
11,ccb04edd-2349-11ea-9181-74d02b9c93aa,Oregon State University,1301022849,Metallurgical Engineering & Materials Science,3.4012360371343573
12,ccb04ede-2349-11ea-9a47-74d02b9c93aa,University of Southampton,875688267,Aerospace Engineering,2.8751548845643224
13,ccb04ede-2349-11ea-9a47-74d02b9c93aa,National Chung Hsing University,1272398384,Aerospace Engineering,2.820573386082512
15,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Taipei Medical University,1182043642,Civil Engineering,2.132496016118685
17,ccb04ee2-2349-11ea-b32b-74d02b9c93aa,University of Porto,929377903,Educational Technology,3.4460410708031475
18,ccb04ee2-2349-11ea-b32b-74d02b9c93aa,King’s College London,940960222,Civil Engineering,1.9938705572198407
19,ccb04ee3-2349-11ea-9020-74d02b9c93aa,University of Göttingen,1558842325,National Centre for Aerospace Innovation and Research (NCAIR),3.2699448807091294
20,ccb04ee3-2349-11ea-9020-74d02b9c93aa,University of Vermont,1513738472,Biosciences and Bioengineering,2.4395936137825665
21,ccb04ee4-2349-11ea-b369-74d02b9c93aa,University of Liège,1484736462,Mechanical Engineering,2.472564502803144
23,ccb04ee6-2349-11ea-b664-74d02b9c93aa,University of Rome III,1179000412,Computer Centre (CC),3.974505815484224
24,ccb04ee6-2349-11ea-b664-74d02b9c93aa,University of Houston,1209183012,Computer Centre (CC),2.990215100361689
25,ccb04ee7-2349-11ea-8ae7-74d02b9c93aa,Universiti Sains Malaysia,1249009584,ABC-EDS Research Academy,2.170312671019212
26,ccb04ee7-2349-11ea-8ae7-74d02b9c93aa,Paris-Sorbonne University – Paris 4,1377584172,ABC-EDS Research Academy,2.5460000966034784
27,ccb04ee7-2349-11ea-8ae7-74d02b9c93aa,Tufts University,1169947139,ABC-EDS Research Academy,3.1253033257418323
