,user_id,company_name,industry,location,start_date,end_date,title,project_intro
1,ccb04ed9-2349-11ea-be57-74d02b9c93aa,mobilefyre,marketing and advertising,"apple valley, minnesota, united states",1544937415,1571277861,Something That Sang to You,Help MICA graduate students produce a poignant and innovative short film with the help of seasoned professionals and lots o'undergrads.
2,ccb04ed9-2349-11ea-be57-74d02b9c93aa,sisource ab,chemicals,"linköping, östergötland, sweden",1546431353,1564033592,Krystal Genuine Sapphire Screen Protector -- iPhone 4/4S & 5,Be one of the very first in the world to protect your iPhone screen with Sapphire!
3,ccb04ed9-2349-11ea-be57-74d02b9c93aa,ödeshögs kommun,government administration,,1543784316,1556736034,Our secret A+,Enjoy adult films? without the you know..  well It's an adult theme But it's all clean.. it's like a parody.
4,ccb04ed9-2349-11ea-be57-74d02b9c93aa,express sign and mailbox llc,marketing and advertising,,1272097040,1482634969,The Extropiate Project: From Passion for Music to a Plan,"If you knew you couldn't fail as a musician, would you have made it your career? I have an idea to fix that..."
5,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,autobedrijf thoonen b.v.,machinery,"gassel, noord-brabant, netherlands",1388435109,1395225092,Release and Promotion of Wondernaut's newest music!,Wondernaut needs money for a Spring release and College Radio promotion!
6,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,tpa webhosting,online media,"boxmeer, noord-brabant, netherlands",1223690528,1387629583,Yemanja: Mother of the Deep,"Yemanja: Mother of the Deep is an inspirational performance piece; a creative interplay of live music, song and dance."
7,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,acceptance mortgage llc,financial services,"kearny, new jersey, united states",1105254917,1411881211,Dinosaur Bones,I've finally written and recorded a new single for release in the spring!  All I need is $400 to cover a pro mix/master job.
8,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,trusted health plan,hospital & health care,"washington, district of columbia, united states",1258810677,1446649107,Doors - A Horror Novel,A web of short stories follows a young couple as they find themselves inextricably linked to a series of paranormal events.
9,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,insidethebox,marketing and advertising,,1548259633,1573510300,Losing the Old Life - Stories of the Immigrant Next Door,A journey through countries in crisis whose refugees share their astounding stories with their English teacher in their new home.
10,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,w.e. cox claims group (europe) limited,financial services,,1409852407,1475345683,SafeNet - Protection on the Road,"Ever worry about car accidents, breakdowns, theft or loss? SafeNet lets you track, monitor and talk to your cars anywhere in the world."
11,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,method advisors,investment management,"boston, massachusetts, united states",1371902349,1514976220,Where the Bear Walks: From Fear to Understanding,Exploring the true nature of bears and the work that's being done to replace our fear of them with understanding.
12,ccb04edc-2349-11ea-9c27-74d02b9c93aa,mål o mening as,sports,,1462087579,1470725755,Wildlife Escape Ramp for Swimming Pools,"To allow trapped animals to escape from swimming pools by expanding on our current successful product, the FrogLog (www.froglog.us)."
13,ccb04edc-2349-11ea-9c27-74d02b9c93aa,banadir gate general trading ltd,transportation/trucking/railroad,,1529201435,1541483748,The Business Card Project,A project devoted to spreading good design... one business card at a time. Help a creative maven launch her freelance career!
14,ccb04edc-2349-11ea-9c27-74d02b9c93aa,hoekman advies & coaching,professional training & coaching,,1440565327,1537348806,Planet Postmoderna Phase I,Planet Postmoderna is a free-to-play virtual world/MMO Sci-fi Game with historical sub-worlds and a real cash virtual economy.
15,ccb04edc-2349-11ea-9c27-74d02b9c93aa,stokas bieri real estate,real estate,"detroit, michigan, united states",1461314650,1517912170,Roots And Wings: The Indelible Grace Music Documentary,Help us finish the film Roots And Wings and help spread the movement to put old hymn texts to new music.
16,ccb04edd-2349-11ea-9181-74d02b9c93aa,kerry london ltd,insurance,"london, greater london, united kingdom",1357305698,1446776564,Building of Song Festival - Pay the Performers!,"The Building of Song Festival takes place Saturday, July 3rd.  The event is free, so we are using Kickstarter to raise money to pay the performers."
17,ccb04edd-2349-11ea-9181-74d02b9c93aa,secretweapon systems,computer software,"austin, texas, united states",763226651,1430561809,Plant Good Seed: Invest In Your Future With Our Seed Company,"Invest in your organic garden or farm for the months, seasons, or years to come with our Community Supported Seed project."
18,ccb04edd-2349-11ea-9181-74d02b9c93aa,g.d.m. snc,machinery,"ravenna, emilia-romagna, italy",1440624086,1472714581,What's going on? Ask someone who knows.,Find out what people who know the city are doing. Don't waste another minute with a run of the mill experience.
19,ccb04edd-2349-11ea-9181-74d02b9c93aa,krown concepts,hospitality,"kansas city, missouri, united states",1110544364,1534401721,Austin Geek 2015 Calendar & San Antonio Geek 2015 Calendar,Silicon Hills News is producing two 2015 calendars featuring one of all Austin tech startups and one of all San Antonio tech startups.
20,ccb04ede-2349-11ea-9a47-74d02b9c93aa,highland groveland recreation,,"saint paul, minnesota, united states",1047493226,1081329147,Nerd Squad Music Group,The definition of real hip-hop rolled up into 16 tracks.
21,ccb04edf-2349-11ea-95cf-74d02b9c93aa,americas communications llc,public relations and communications,,889530701,1077132372,Decision: Medieval - An epic hack-and-slash video game,"Lead your kingdom to victory against hordes of zombies, orcs, werewolves and trolls in this addictive flash game!  For PC, Mac, Linux."
22,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,da capo brass quintet,music,"greensboro, north carolina, united states",1384233320,1554710226,SKATE OR DIE (a feature length documentary),Leo Castillo had always found in skateboarding a narrow escape from violence until a gunshot wound threatens to tear it all away.
23,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,elite court reporting,legal services,"dallas, texas, united states",1525289343,1526937981,RAVENFELL 28mm Fantasy Village,A 28mm scale fantasy village that can be disassembled and folded flat for easy storage and transport.
24,ccb04ee1-2349-11ea-98bc-74d02b9c93aa,stafford development corp,think tanks,"columbus, ohio, united states",1441002958,1488946142,Reinventing The Wheel - Help me record my first CD,Recording a full-length CD of my original music has been a vision of mine for many years. Help me make it a reality won't you?
25,ccb04ee2-2349-11ea-b32b-74d02b9c93aa,vision lifestyle,consumer services,"lancashire, lancashire, united kingdom",868756853,1272050974,Welcome To The Kai Welch Debut Album,"Kai Welch has played in everyone's band forever.  Meanwhile, he's been preparing this luscious, finely crafted, and long overdue collection of songs."
26,ccb04ee3-2349-11ea-9020-74d02b9c93aa,vd comercio de veiculos,retail,"ponta grossa, parana, brazil",1518635272,1561351114,iSummon,There are many important questions that Steve Jobs never answered. We intend to get those answers. From his ghost.
27,ccb04ee3-2349-11ea-9020-74d02b9c93aa,pure gold,e-learning,,1522767252,1546085554,The Shock of Understanding,"Hearing unwanted truth can elicit a shock of understanding, leaving you speechless. I have 10 songs that may do the same."
28,ccb04ee3-2349-11ea-9020-74d02b9c93aa,"knollege, llc",e-learning,,1550818137,1560332897,Pedal Powered Vegetable Cart For Urban Gardening Program,A pedal-powered produce cart for a local urban gardening program and the development of a jig to produce future custom cargo tricycles.
29,ccb04ee3-2349-11ea-9020-74d02b9c93aa,spedition lode gmbh,,"waldkraiburg, bavaria, germany",1514382442,1536515368,Help start Jacksonville's FIRST Paint Your Own Pottery Store,Need kiln and plaster molds for Jacksonville's FIRST Paint Your Own Pottery Studio. Great place for all ages to learn about ceramics!!!
30,ccb04ee3-2349-11ea-9020-74d02b9c93aa,national institute of informatics [japan] 国立情報学研究所,research,,1325956250,1405612273,A Better Soap,I'm setting out to create a better soap.  With the perfect combination of oils to soften the skin and leave you feeling refreshed.
31,ccb04ee4-2349-11ea-b369-74d02b9c93aa,ac controller,accounting,,1474645800,1525399488,First Annual Del Norte County Music Festival,I'm looking to put on a Hard Rock music festival in Del Norte County! 3 days of Rock 'n Roll by local and big name bands!
33,ccb04ee6-2349-11ea-b664-74d02b9c93aa,saddle rock golf course,mental health care,"aurora, colorado, united states",1136141258,1338221999,"The Hand of Panda: An action XBLA, PSN, & PC Game",The Hand of Panda is a timing based action game that takes the bonus round concepts from various fighting games to a whole new level.
34,ccb04ee6-2349-11ea-b664-74d02b9c93aa,dopple,apparel & fashion,"san francisco, california, united states",1358490664,1563578359,The Shadowbox Youth Brigade,Every child is an artist. The problem is how to remain an artist once we grow up. - Pablo Picasso
