,user_id,name,type,date,attendees_count,loc,google_rating
0,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Asoka,movie_theater,1042131445,8,"26.1695432, 118.1859781",5
1,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Regrant,dentist,1524041272,1,"27.7443962, 98.66543809999999",3
2,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Gembucket,grocery_or_supermarket,1365281099,8,"50.063355, 18.4336557",5
3,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Fix San,tourist_attraction,1058246294,7,"1.968543, -157.3936469",5
4,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Sonair,roofing_contractor,1200193998,1,"46.0382687, 18.2440979",5
5,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Konklab,roofing_contractor,1079828351,7,"35.683952000000005, -105.94363799999999",1
6,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Cardify,florist,1140113160,1,"37.242286299999996, -121.73094520000001",1
7,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Flexidy,secondary_school,1264063566,9,"14.819022400000001, -90.51314609999999",4
8,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Greenlam,car_rental,1410103284,1,"49.939657399999994, 16.9280562",5
9,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Konklux,school,1334693006,8,"40.6746699, 44.2454216",4
10,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Tin,bank,1452313765,1,"11.8700773, 51.0586345",4
11,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Bamity,city_hall,957502734,1,"-9.7625469, -36.1328132",1
12,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Quo Lux,atm,1097671959,4,"30.081940999999997, 120.495065",5
13,ccb04ed9-2349-11ea-be57-74d02b9c93aa,It,laundry,1444407224,2,"27.424294, 119.914874",5
14,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Ventosanzap,veterinary_care,1444634638,4,"48.470368799999996, 24.2784263",1
15,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Flexidy,meal_delivery,1380619841,6,"38.2305534, 15.5532993",4
16,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Flowdesk,home_goods_store,1467033662,1,"31.364902, 108.249509",5
17,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,It,aquarium,1234911701,2,"50.9648271, 6.9538234",3
18,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Wrapsafe,car_rental,1303911718,1,"21.244721, 110.45533200000001",2
19,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Tres-Zap,laundry,1455814902,4,"-7.7001724000000005, -79.4338188",2
20,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Cardguard,casino,1054110594,8,"-6.7183784, 111.466342",5
21,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Treeflex,bar,1181920933,7,"4.0627144, -75.12857120000001",3
22,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Lotlux,supermarket,1295814983,1,"-6.748750200000001, 111.03188290000001",4
23,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Tres-Zap,clothing_store,1114772801,7,"34.662234000000005, 109.226101",3
24,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Fixflex,cemetery,1565506515,1,"33.7746886, -84.2953464",2
25,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Otcom,tourist_attraction,1039858263,1,"31.459682, 110.11101000000001",2
26,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Bytecard,gas_station,1373389530,1,"-14.23792, -72.591949",2
27,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Zathin,park,1182169715,1,"23.4082065, 116.68788909999998",4
28,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Prodder,insurance_agency,1013859160,8,"49.966003, 21.124684",2
29,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Temp,mosque,1011435247,7,"25.941937, 117.365052",1
30,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Bitwolf,fire_station,1256783379,9,"46.4376847, 16.6088342",4
31,ccb04edc-2349-11ea-9c27-74d02b9c93aa,Aerified,hardware_store,1051159693,1,"23.63841, 115.182134",4
32,ccb04edd-2349-11ea-9181-74d02b9c93aa,Trippledex,locksmith,1122968958,1,"28.628189000000003, 117.11713799999998",2
33,ccb04edd-2349-11ea-9181-74d02b9c93aa,Asoka,bakery,1501877133,2,"23.354091, 116.681972",1
34,ccb04edd-2349-11ea-9181-74d02b9c93aa,Fix San,painter,1122894423,4,"49.189578000000004, 26.844725399999994",5
35,ccb04edd-2349-11ea-9181-74d02b9c93aa,Sub-Ex,real_estate_agency,972140903,1,"-7.169734299999999, 108.83435379999999",2
36,ccb04edd-2349-11ea-9181-74d02b9c93aa,Trippledex,department_store,1146384062,7,"39.905161799999995, 116.4624467",5
37,ccb04edd-2349-11ea-9181-74d02b9c93aa,Sonsing,art_gallery,1189779974,9,"50.8822214, 16.3195565",2
38,ccb04edd-2349-11ea-9181-74d02b9c93aa,Gembucket,grocery_or_supermarket,1365281099,8,"50.063355, 18.4336557",5
39,ccb04edd-2349-11ea-9181-74d02b9c93aa,Zathin,park,1182169715,1,"23.4082065, 116.68788909999998",4
40,ccb04edd-2349-11ea-9181-74d02b9c93aa,Bitchip,school,1482531308,1,"6.4968574, 2.6288522999999997",4
41,ccb04edd-2349-11ea-9181-74d02b9c93aa,Tampflex,aquarium,1373243668,9,"61.549558, 23.5960975",1
42,ccb04edd-2349-11ea-9181-74d02b9c93aa,Daltfresh,hospital,1257420416,1,"13.817082500000001, 101.3052635",1
43,ccb04ede-2349-11ea-9a47-74d02b9c93aa,Cookley,real_estate_agency,1239228549,1,"53.8191, 27.5215",1
44,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Stronghold,local_government_office,1459680801,9,"35.6176824, 34.4087307",1
45,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Domainer,supermarket,978694046,9,"22.560473, 113.11161200000001",2
46,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Fixflex,bank,1112240461,2,"28.229271, 120.997332",5
47,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Konklux,department_store,1085481286,1,"57.7694738, 12.011029800000001",2
48,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Tempsoft,supermarket,1330897604,1,"-9.7934897, 124.43193090000001",4
