,user_id,name,category,skill_level
0,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Adobe Creative Suite,RW,5
1,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,Responsive design principles,RW,5
2,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,InDesign,RW,3
3,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Big Data tools,Jt,1
4,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Ad design,Jt,4
5,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Big Data Analysis,Jt,4
6,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Testing/Debugging,Yc,2
7,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Educational platforms,Iv,2
8,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Technical and non-technical communication,Iv,1
9,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Teamwork,Iv,5
10,ccb04ed9-2349-11ea-be57-74d02b9c93aa,Agile Business Analysis,Iv,1
11,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,CRO and A/B Testing,rm,3
12,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,R,rm,5
13,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Basic knowledge of user interface communication,rm,1
14,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,System Context Diagrams,pu,2
15,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Email marketing,pu,2
16,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Wordpress,pu,5
17,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Wordpress,nI,4
18,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,Data Mapping,nI,1
19,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,"Git/Version control (Github, gitlab)",nI,5
20,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Digital printing,hw,2
21,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Agile Business Analysis,hw,4
22,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Infection control,hw,1
23,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Motivation,hw,2
24,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,Entity Relationship Diagrams,ht,2
25,ccb04edc-2349-11ea-9c27-74d02b9c93aa,CSS preprocessors,wx,3
26,ccb04edc-2349-11ea-9c27-74d02b9c93aa,Patience,wx,3
27,ccb04edc-2349-11ea-9c27-74d02b9c93aa,Negotiation,wx,4
28,ccb04edc-2349-11ea-9c27-74d02b9c93aa,Product knowledge,wx,1
29,ccb04edc-2349-11ea-9c27-74d02b9c93aa,Public speaking,cY,4
31,ccb04ede-2349-11ea-9a47-74d02b9c93aa,Revenue recognition,Um,2
32,ccb04ede-2349-11ea-9a47-74d02b9c93aa,Testing/Debugging,rw,4
33,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Motivation,dG,5
34,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Color sense & theory,dG,5
35,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Research and data analysis,zn,5
36,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Innovation,zn,3
37,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Advanced Cardiac Life Support (ACLS),zn,1
38,ccb04edf-2349-11ea-95cf-74d02b9c93aa,Closing,zn,4
39,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Proposal writing,uQ,5
40,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Business Development,iu,5
41,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Telemetry,iu,5
42,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Public speaking,iu,1
43,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Acute care,iu,4
44,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Infection control,hF,1
45,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Anti Money Laundering,hF,3
46,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Revenue recognition,hF,5
47,ccb04ee0-2349-11ea-af3a-74d02b9c93aa,Javascript,hF,2
48,ccb04ee1-2349-11ea-98bc-74d02b9c93aa,System Context Diagrams,zH,5
49,ccb04ee1-2349-11ea-98bc-74d02b9c93aa,Email marketing,zH,3
50,ccb04ee1-2349-11ea-98bc-74d02b9c93aa,Data entry,zH,4
52,ccb04ee3-2349-11ea-9020-74d02b9c93aa,Brand management,Qd,3
53,ccb04ee3-2349-11ea-9020-74d02b9c93aa,Matlab,Qd,3
54,ccb04ee3-2349-11ea-9020-74d02b9c93aa,Telemetry,Qd,5
56,ccb04ee5-2349-11ea-9fd7-74d02b9c93aa,Surgery preparation,is,3
57,ccb04ee5-2349-11ea-9fd7-74d02b9c93aa,PESTEL,is,5
58,ccb04ee5-2349-11ea-9fd7-74d02b9c93aa,Surgery preparation,is,3
59,ccb04ee5-2349-11ea-9fd7-74d02b9c93aa,R,nh,2
60,ccb04ee6-2349-11ea-b664-74d02b9c93aa,Emotional Intelligence,kU,1
61,ccb04ee6-2349-11ea-b664-74d02b9c93aa,Technical writing,kU,2
65,ccb04eea-2349-11ea-99a6-74d02b9c93aa,Color sense & theory,lg,2
66,ccb04eea-2349-11ea-99a6-74d02b9c93aa,Scala,lg,2
67,ccb04eea-2349-11ea-99a6-74d02b9c93aa,CSS preprocessors,iI,4
68,ccb04eea-2349-11ea-99a6-74d02b9c93aa,Empathy,iI,4
69,ccb04eea-2349-11ea-99a6-74d02b9c93aa,Customer Relationship Management (CRM),iI,2
70,ccb04eeb-2349-11ea-bfce-74d02b9c93aa,Sales,qv,1
71,ccb04eec-2349-11ea-84c0-74d02b9c93aa,Data visualization & pattern-finding through critical thinking,Ji,2
72,ccb04eec-2349-11ea-84c0-74d02b9c93aa,Visual Basic,Ji,4
73,ccb04eec-2349-11ea-84c0-74d02b9c93aa,Active listening,cJ,4
74,ccb04eec-2349-11ea-84c0-74d02b9c93aa,Lead generation,cJ,1
75,ccb04eec-2349-11ea-84c0-74d02b9c93aa,PESTEL,cJ,4
76,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Data visualization & pattern-finding through critical thinking,iO,2
77,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Updated curriculum knowledge,iO,4
78,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,CRO and A/B Testing,Rp,4
79,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Dealing with work-related stress,Rp,3
80,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,HTML/CSS,Rp,5
81,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Web scraping,Rp,2
82,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Creativity,qS,2
83,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Attention to detail & aesthetics,qS,3
84,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Problem-solving,qS,1
85,ccb04eee-2349-11ea-863d-74d02b9c93aa,Testing/Debugging,yt,5
86,ccb04eee-2349-11ea-863d-74d02b9c93aa,CRO and A/B Testing,HW,1
87,ccb04eee-2349-11ea-863d-74d02b9c93aa,Photo editing,HW,5
88,ccb04eee-2349-11ea-863d-74d02b9c93aa,Accuracy,HW,3
89,ccb04eee-2349-11ea-863d-74d02b9c93aa,CSS preprocessors,HW,2
90,ccb04eef-2349-11ea-894e-74d02b9c93aa,Photoshop,uS,4
91,ccb04eef-2349-11ea-894e-74d02b9c93aa,Paperwork/record-keeping abilities,uS,4
92,ccb04eef-2349-11ea-894e-74d02b9c93aa,Typography,Pe,4
93,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,Telemetry,hV,5
94,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,PESTEL,hV,2
95,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,Cognos Analytics (IBM),hV,2
96,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,Agile Business Analysis,hV,1
97,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,Anti Money Laundering,PB,3
98,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,STATA,PB,4
99,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,Technical writing,Ys,3
100,ccb04ef1-2349-11ea-8a22-74d02b9c93aa,Responsive design principles,fW,5
101,ccb04ef1-2349-11ea-8a22-74d02b9c93aa,Patience,fW,3
102,ccb04ef1-2349-11ea-8a22-74d02b9c93aa,Customer Relationship Management (CRM),fW,4
104,ccb04ef3-2349-11ea-a003-74d02b9c93aa,Patient care and assistance,FS,2
106,ccb04ef5-2349-11ea-b59c-74d02b9c93aa,Business Development,TP,5
107,ccb04ef5-2349-11ea-b59c-74d02b9c93aa,Clear communication,TP,2
108,ccb04ef5-2349-11ea-b59c-74d02b9c93aa,Porter’s Five Forces,TP,4
109,ccb04ef5-2349-11ea-b59c-74d02b9c93aa,InDesign,TP,2
110,ccb04ef5-2349-11ea-b59c-74d02b9c93aa,Microsoft Visio,jP,5
111,ccb04ef6-2349-11ea-872f-74d02b9c93aa,Entity Relationship Diagrams,YW,4
